,Country,DemoK_4,DemoK_8,DemoK_16,DemoK_32,DemoSpec_16,DemoSpec_32,SocietyK_4,SocietyK_8,SocietyK_16,SocietyK_32,SocietySpec_16,SocietySpec_32,ClimateK_4,ClimateK_8,ClimateK_16,ClimateSpec_16,ClimateSpec_32,ClimateSpec_64,EconomyK_4,EconomyK_8,EconomyK_16,EconomySpec_8,EconomySpec_16,EconomySpec_32,ReligionK_4,ReligionK_8,ReligionK_16,ReligionSpec_16,ReligionSpec_32,ReligionSpec_64,LanguageK_4,LanguageK_8,LanguageSpec_16,LanguageSpec_64,LanguageDBS_3,LanguageDBS_4
188,Saint Kitts and Nevis,,,,,,,,,,,,,0.0,4.0,3.0,12.0,30.0,17.0,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,9.0,8.0,3.0,3.0
189,Saint Lucia,1.0,1.0,7.0,16.0,2.0,10.0,0.0,3.0,7.0,14.0,4.0,7.0,1.0,2.0,10.0,12.0,1.0,7.0,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,7.0,8.0,7.0,3.0
190,Saint Pierre and Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,
191,Saint Vincent and the Grenadines,1.0,1.0,7.0,23.0,2.0,15.0,0.0,3.0,12.0,4.0,7.0,2.0,1.0,5.0,7.0,9.0,16.0,2.0,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,9.0,8.0,3.0,3.0
192,Samoa,0.0,7.0,3.0,6.0,14.0,8.0,,,,,,,1.0,2.0,11.0,3.0,28.0,5.0,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,7.0,8.0,7.0,3.0
193,San Marino,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,4.0,43.0,5.0,1.0
194,Sao Tome and Principe,2.0,2.0,11.0,1.0,11.0,8.0,3.0,4.0,1.0,26.0,12.0,6.0,1.0,5.0,0.0,11.0,7.0,9.0,0.0,0.0,12.0,2.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,
195,Saudi Arabia,0.0,7.0,10.0,10.0,1.0,1.0,2.0,1.0,9.0,27.0,9.0,18.0,2.0,3.0,8.0,6.0,10.0,63.0,0.0,4.0,0.0,7.0,14.0,28.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,2.0
196,Scarborough Reef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Senegal,2.0,2.0,13.0,15.0,11.0,8.0,3.0,0.0,6.0,11.0,12.0,6.0,0.0,4.0,12.0,12.0,30.0,11.0,0.0,3.0,4.0,2.0,13.0,3.0,0.0,0.0,9.0,2.0,0.0,0.0,2.0,1.0,4.0,58.0,5.0,1.0
